Race and Virulence Analysis of Puccinia triticina in China in 2014 and 2015		
Biological control of Pierce's disease in the vineyard with strains of Xylella fastidiosa benign to grapevine		
Two convenient methods to evaluate soybean for resistance to Sclerotinia sclerotiorum		
Reviving chickpea production in Nepal through integrated crop management, with emphasis on Botrytis gray mold		
Spore germination, infection structure formation, and colony development of Erysiphe pulchra on dogwood leaves and glass slides		
Managing the race structure of Phytophthora parasitica var. nicotianae with cultivar rotation		
Physiologic specialization of Puccinia triticina on wheat in the United States in 2003		
Rust control in glyphosate tolerant wheat following application of the herbicide glyphosate		
Baseline sensitivities of fungal pathogens of fruit and foliage of citrus to azoxystrobin, pyraclostrobin, and fenbuconazole		
High-speed optical sorting of soft wheat for reduction of deoxynivalenol		
Azoxystrobin rate and timing effects on rice sheath blight incidence and severity and rice grain and milling yields		
Accurate assessment of wheat and triticale cultivar resistance to Septoria tritici and Stagonospora nodorum infection by Biotin/Avidin ELISA		
Effect of fungicide treatments and sanitation practices on brown rot blossom blight incidence, phytotoxicity, and yield for organic sour cherry production		
Erratum: First report of bacterial wilt of annual bluegrass caused by Xanthomonas translucens pv. poae in Montana (An International Journal of Applied Plant Pathology (2005) 89:9 (1016))		
Comparative field efficacy of management strategies containing Brassica napus seed meal or green manure for the control of apple replant disease		
Reactions of perennial grain accessions to four major cereal pathogens of the Great Plains		
Nematodes associated with carrot production in Tasmania, Australia, and the effect of Pratylenchus crenatus on yield and quality of Kuroda-type carrot		
Fitness of races 0 and 1 of Phytophthora parasitica var. nicotianae		
Suppression of Botrytis blight of begonia by Trichoderma hamatum 382 in peat and compost-amended potting mixes		
Development of a DNA macroarray for detection and monitoring of economically important apple diseases		
Relationships between weather conditions, agronomic practices, and fermentation characteristics with deoxynivalenol content in fresh and ensiled maize		
First report of pink disease on native trees in South Africa and phylogenetic placement of Erythricium salmonicolor in the homobasidiomycetes		
Effect of seed-tuber generation, soilborne inoculum, and azoxystrobin application on development of potato black dot caused by Colletotrichum coccodes		
Root and basal stem rot of scotch broom caused by Phytophthora citricola and P. drechsleri in Italy		
First report of Phytophthora insolita and P. inflata on rhododendron in Ohio		
Soybean cyst nematode management reconsidered		
Distribution of Pythium porphyrae, the causal agent of red rot disease of Porphyrae spp., in the Ariake Sea, Japan		
Genetic structure of Botrytis cinerea populations from different host plants in California		
Characterization of Cylindrocarpon species, the cause of black foot disease of grapevine in California		
Variation in Septoria musiva and implications for disease resistance screening of poplars		
Races of Puccinia graminis identified in the United States during 2003		
Seasonal dispersal of the oak wilt fungus by Colopterus truncatus and Carpophilus sayi in Minnesota		
Effect of benzothiadiazole on transmission of X-disease phytoplasma by the vector Colladonus montanus to Arabidopsis thaliana, a new experimental host plant		
Influence of environment on atmospheric concentrations of Peronospora antirrhini sporangia in field-grown snapdragon		
Development of a fungicide-based management strategy for foliar disease caused by Phoma ligulicola in Tasmanian pyrethrum fields		
Significance of preventing primary infections by Didymella rabiei and development of a model to estimate the maturity of pseudothecia		
Temporal progress of septoria leaf spot on rabbiteye blueberry (Vaccinium ashei)		
Seed transmission of Wheat streak mosaic virus shown unequivocally in wheat		
Development of an RT-PCR for High Plains virus indexing scheme in New Zealand post-entry quarantine		
Effect of seeding rate and seed treatment fungicides on agronomic performance, fusarium head blight symptoms, and DON accumulation in two winter wheats		
Persistence of Xylella fastidiosa in riparian hosts near northern California vineyards		
Influence of plant age on symptom development in Ulmus minor following inoculation by Ophiostoma novo-ulmi		
Distribution of Potebniamyces pyri in the U.S. Pacific Northwest and its association with a canker and twig dieback disease of pear trees		
A PCR-based method for the detection of Ophiosphaerella agrostis in creeping bentgrass		
Effect of barberry eradication on changes in populations of Puccinia graminis in Minnesota		
Pathogenicity of fungi associated with the wheat crown rot complex in Oregon and Washington		
Application of acibenzolar-S-methyl enhances host resistance in tomato against Ralstonia solanacearum		
Erratum: Safflower: A new host of Cercospora beticola (Plant Disease (2005) 89:8 (797-801))		
Virulence of oat crown rust in Mexico		
The fate of Xylella fastidiosa in vineyard weeds and other alternate hosts in California		
Effects of plant spacing, inoculation date, and peanut cultivar on epidemics of peanut stem rot and tomato spotted wilt		
Epidemiology and management of petunia and tomato late blight in the greenhouse		
Suppression of wheat growth and yield by Pratylenchus neglectus in the Pacific Northwest		
Yield loss potential of phaeosphaeria leaf spot of maize caused by Phaeosphaeria maydis in the United States		
The relationship between Aphis glycines and Soybean mosaic virus incidence in different pest management systems		
Temperature and leaf wetness requirements for pathogen establishment, incubation period, and sporulation of Phytophthora infestans on Petunia x hybrida		
Root and foot rot of lantana caused by Phytophthora cryptogea		
Molecular detection of Apiosporina morbosa, causal agent of black knot in Prunus virginiana		
A new technique to select mild strains of Cucumber mosaic virus		
Bacterial blight in carrot seed crops in the Pacific Northwest		
Distribution of Plum pox virus in residential sites, commercial nurseries, and native plant species in the Niagara Region, Ontario, Canada		
Occurrence of Togninia minima perithecia in esca-affected vineyards in California		
Effects of curing on green mold and stem-end rot of citrus fruit and its potential application under Florida packing system		
New genes for leaf rust resistance in CIMMYT durum wheats		
Safflower: A new host of Cercospora beticola		
Virulence of oat crown rust in Brazil and Uruguay		
The window of risk for emigration of Wheat streak mosaic virus varies with host eradication method		
Lifestyles of Colletotrichum acutatum		
Effects of wetness duration and grain development stages on sorghum grain mold infection		
Field resistance of coat protein transgenic papaya to Papaya ringspot virus in Jamaica		
Epidemiology of Tilletia indica teliospores in regulated wheat fields in Texas		
Analysis of 16S rDNA sequences from citrus huanglongbing bacteria reveal a different "Ca. Liberibacter" strain associated with citrus disease in S?гo Paulo		
Association of a virus with wheat displaying yellow head disease symptoms in the great plains		
Evaluation of soil fumigants applied by drip irrigation for liatris production		
Incidence, transmissibility, and genotype analysis of Citrus tristeza virus (CTV) isolates from CTV eradicative and noneradicative districts in central California		
